,title_name,published_date,views,comments,likes,month,year
0,Introduction to Programming & Python | Python Tutorial - Day #1,2022-11-28 11:30:03+00:00,7348498,24891,188440,11,2022
1,Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,2022-11-29 11:30:07+00:00,2456879,2635,61033,11,2022
2,Modules and Pip | Python Tutorial - Day #3,2022-11-30 12:36:50+00:00,2212791,2485,46653,11,2022
3,Our First Python Program | Python Tutorial - Day #4,2022-12-01 11:30:02+00:00,1567443,5527,37269,12,2022
4,"Comments, Escape Sequences & Print Statement | Python Tutorial - Day #5",2022-12-02 11:30:09+00:00,1660170,3987,38413,12,2022
5,Variables and Data Types | Python Tutorial - Day #6,2022-12-03 11:30:10+00:00,1439248,2511,36640,12,2022
6,Exercise 1: Calculator using Python | Python Tutorial - Day #7,2022-12-04 11:30:07+00:00,1019065,2286,22019,12,2022
7,Exercise 1: Calculator using Python (Solution) | Python Tutorial - Day #8,2022-12-05 11:30:09+00:00,905260,1401,19451,12,2022
8,Typecasting in Python | Python Tutorial - Day #9,2022-12-06 16:14:25+00:00,937213,1387,25071,12,2022
9,Taking User Input in Python | Python Tutorial - Day #10,2022-12-07 11:30:14+00:00,864554,1642,24509,12,2022
10,Strings in Python | Python Tutorial - Day #11,2022-12-08 13:28:13+00:00,954256,1255,23306,12,2022
11,Strings Slicing and Operations on Strings in Python | Python Tutorial - Day #12,2022-12-09 11:28:25+00:00,870188,2067,20844,12,2022
12,String Methods in Python | Python Tutorial - Day #13,2022-12-10 11:45:27+00:00,1009358,1209,24598,12,2022
13,If Else Conditional Statements in Python | Python Tutorial - Day #14,2022-12-11 11:30:14+00:00,862145,1304,19331,12,2022
14,Exercise 2: Good Morning Sir | Python Tutorial - Day #15,2022-12-12 11:30:09+00:00,609987,1853,12092,12,2022
15,Match Case Statements in Python | Python Tutorial - Day #16,2022-12-13 11:30:07+00:00,621343,930,13835,12,2022
16,For Loops in Python | Python Tutorial - Day #17,2022-12-14 11:30:19+00:00,804014,1123,19439,12,2022
17,While Loops in Python | Python Tutorial - Day #18,2022-12-15 11:38:24+00:00,650218,799,15622,12,2022
18,break and continue in Python | Python Tutorial - Day #19,2022-12-16 11:30:06+00:00,538745,1076,13423,12,2022
19,Functions in Python | Python Tutorial - Day #20,2022-12-17 11:30:10+00:00,750510,1252,18419,12,2022
20,Function Arguments in Python | Python Tutorial - Day #21,2022-12-18 11:30:00+00:00,571592,804,13770,12,2022
21,Introduction to Lists in Python | Python Tutorial - Day #22,2022-12-19 11:30:11+00:00,552832,1191,14119,12,2022
22,List Methods in Python | Python Tutorial - Day #23,2022-12-20 11:30:23+00:00,408419,646,11605,12,2022
23,Tuples in Python | Python Tutorial - Day #24,2022-12-21 11:30:05+00:00,393900,448,10969,12,2022
24,Operations on Tuples in Python | Python Tutorial - Day #25,2022-12-22 11:30:13+00:00,333243,392,9240,12,2022
25,Exercise 2: Solution & Shoutouts | Python Tutorial - Day #26,2022-12-23 11:30:07+00:00,282996,400,6200,12,2022
26,Exercise 3: Kaun Banega Crorepati (KBC) | Python Tutorial - Day #27,2022-12-24 11:30:13+00:00,276306,983,6680,12,2022
27,f-strings in Python | Python Tutorial - Day #28,2022-12-25 11:30:20+00:00,357997,444,9510,12,2022
28,Docstrings in Python | Python Tutorial - Day #29,2022-12-26 11:30:13+00:00,303890,351,8548,12,2022
29,Recursion in Python | Python Tutorial - Day #30,2022-12-27 11:30:08+00:00,385866,953,9723,12,2022
30,Sets in Python | Python Tutorial - Day #31,2022-12-28 11:30:19+00:00,302818,492,8556,12,2022
31,Set Methods in Python | Python Tutorial - Day #32,2022-12-29 11:30:08+00:00,301662,406,8365,12,2022
32,Dictionaries in Python | Python Tutorial - Day #33,2022-12-30 11:30:18+00:00,357672,622,10142,12,2022
33,Dictionary Methods in Python | Python Tutorial - Day #34,2022-12-31 11:30:05+00:00,247408,385,7851,12,2022
34,for Loop with else in Python | Python Tutorial - Day #35,2023-01-01 11:30:10+00:00,220871,526,7644,1,2023
35,Exception Handling in Python | Python Tutorial - Day #36,2023-01-02 11:30:02+00:00,372004,376,10291,1,2023
